player_id,stroke,confidence,frame,timestamp
1,backhand,0.85869193,9,0.15s
3,backhand,0.60627544,26,0.43s
1,backhand,0.61650544,34,0.57s
3,backhand,0.89516443,46,0.77s
3,backhand,0.61272496,77,1.28s
1,backhand,0.64743596,97,1.62s
3,backhand,0.77649015,98,1.63s
1,backhand,0.8014676,117,1.95s
3,backhand,0.85813504,118,1.97s
3,forehand,0.6512942,130,2.17s
3,forehand,0.61326885,154,2.57s
3,backhand,0.7542724,158,2.63s
1,backhand,0.6743813,182,3.03s
3,backhand,0.7392799,200,3.33s
1,backhand,0.7321092,208,3.47s
3,backhand,0.83919203,222,3.70s
3,backhand,0.95852035,242,4.03s
3,backhand,0.91056806,272,4.53s
1,backhand,0.72830844,279,4.65s
3,backhand,0.83611584,292,4.87s
3,backhand,0.65489376,317,5.28s
4,backhand,0.6455272,350,5.83s
3,backhand,0.73839825,362,6.03s
3,backhand,0.64554614,383,6.38s
4,backhand,0.795834,416,6.93s
6,backhand,0.66041857,434,7.23s
4,backhand,0.66064763,440,7.33s
6,backhand,0.7797245,454,7.57s
4,backhand,0.94039834,460,7.67s
6,forehand,0.6140801,485,8.08s
4,forehand,0.7570836,505,8.42s
6,forehand,0.8578041,505,8.42s
6,forehand,0.8803494,526,8.77s
4,forehand,0.6424336,548,9.13s
6,forehand,0.8932554,549,9.15s
4,forehand,0.68268585,581,9.68s
4,backhand,0.6735073,589,9.82s
6,forehand,0.83657694,615,10.25s
6,forehand,0.9430465,635,10.58s
6,forehand,0.72344375,668,11.13s
7,forehand,0.9431082,682,11.37s
6,forehand,0.8634937,688,11.47s
7,forehand,0.9346709,702,11.70s
7,backhand,0.6245576,728,12.13s
6,forehand,0.83599323,735,12.25s
7,backhand,0.64706266,751,12.52s
7,backhand,0.6581678,773,12.88s
6,backhand,0.6512694,784,13.07s
7,backhand,0.61971974,817,13.62s
7,backhand,0.6112086,868,14.47s
8,backhand,0.79406947,872,14.53s
7,backhand,0.685719,889,14.82s
8,backhand,0.8737661,892,14.87s
7,forehand,0.62974197,905,15.08s
7,backhand,0.6119811,925,15.42s
8,backhand,0.7615794,943,15.72s
10,backhand,0.6782456,964,16.07s
10,backhand,0.6828759,984,16.40s
8,backhand,0.7056188,986,16.43s
10,backhand,0.71721804,1004,16.73s
8,backhand,0.70375144,1020,17.00s
11,backhand,0.6352023,1028,17.13s
8,backhand,0.65834135,1049,17.48s
11,backhand,0.6728145,1079,17.98s
11,backhand,0.7170728,1104,18.40s
12,backhand,0.7418337,1121,18.68s
11,backhand,0.68991244,1127,18.78s
12,backhand,0.6274967,1150,19.17s
11,backhand,0.6215408,1156,19.27s
12,forehand,0.8124561,1177,19.62s
12,backhand,0.77500373,1179,19.65s
12,forehand,0.8390769,1181,19.68s
12,backhand,0.7498842,1182,19.70s
12,forehand,0.63649863,1183,19.72s
11,backhand,0.80760443,1190,19.83s
11,forehand,0.63326955,1204,20.07s
13,backhand,0.6543152,1278,21.30s
13,backhand,0.6757689,1298,21.63s
13,forehand,0.6498238,1318,21.97s
11,forehand,0.6119389,1319,21.98s
13,backhand,0.60495865,1325,22.08s
11,forehand,0.60813403,1346,22.43s
13,backhand,0.69046175,1357,22.62s
11,forehand,0.70706195,1366,22.77s
13,backhand,0.67941535,1377,22.95s
11,forehand,0.6178869,1389,23.15s
13,backhand,0.73214567,1397,23.28s
11,backhand,0.6190059,1419,23.65s
13,backhand,0.7178749,1423,23.72s
13,backhand,0.7185989,1444,24.07s
13,backhand,0.610776,1487,24.78s
13,backhand,0.6224016,1511,25.18s
